iter	Passed	Remaining
0	57	57493
1	57	28853
2	58	19292
3	58	14510
4	58	11638
5	58	9721
6	58	8353
7	59	7325
8	59	6539
9	59	5899
10	59	5376
11	59	4939
12	60	4567
13	60	4251
14	60	3978
15	60	3740
16	61	3528
17	61	3340
18	61	3171
19	61	3021
20	61	2884
21	62	2756
22	62	2642
23	62	2539
24	62	2442
25	62	2354
26	63	2272
27	63	2197
28	63	2126
29	63	2061
30	63	1998
31	64	1939
32	64	1884
33	64	1833
34	64	1784
35	64	1737
36	65	1694
37	65	1652
38	65	1613
39	65	1575
40	65	1540
41	66	1506
42	66	1474
43	66	1443
44	66	1414
45	66	1386
46	67	1359
47	67	1333
48	67	1308
49	67	1287
50	67	1263
51	68	1241
52	68	1222
53	68	1202
54	68	1182
55	69	1163
56	69	1144
57	69	1126
58	69	1109
59	69	1092
60	69	1076
61	70	1060
62	70	1045
63	70	1030
64	70	1016
65	70	1002
66	71	989
67	71	976
68	71	963
69	71	951
70	71	939
71	71	927
72	72	915
73	72	904
74	72	894
75	72	883
76	72	873
77	73	863
78	73	853
79	73	844
80	73	835
81	73	826
82	73	817
83	74	808
84	74	800
85	74	792
86	74	784
87	74	776
88	75	768
89	75	761
90	75	753
91	75	746
92	75	739
93	75	732
94	76	725
95	76	719
96	76	713
97	76	706
98	76	700
99	77	694
100	77	688
101	77	682
102	77	676
103	77	670
104	78	665
105	78	659
106	78	654
107	78	649
108	78	644
109	78	639
110	79	634
111	79	629
112	79	624
113	79	619
114	79	615
115	80	610
116	80	605
117	80	601
118	80	597
119	80	593
120	81	589
121	81	585
122	81	581
123	81	578
124	82	574
125	82	570
126	82	567
127	82	563
128	82	560
129	83	556
130	83	553
131	83	549
132	83	547
133	84	543
134	84	540
135	84	537
136	84	534
137	85	531
138	85	527
139	85	524
140	85	521
141	85	518
142	85	515
143	86	512
144	86	509
145	86	506
146	86	503
147	86	500
148	87	497
149	87	494
150	87	491
151	87	488
152	87	485
153	87	483
154	88	480
155	88	477
156	88	475
157	88	472
158	88	469
159	89	467
160	89	464
161	89	461
162	89	458
163	89	456
164	89	453
165	89	451
166	90	449
167	90	446
168	90	444
169	90	442
170	90	440
171	90	437
172	91	435
173	91	432
174	91	430
175	91	428
176	91	426
177	91	424
178	92	422
179	92	420
180	92	417
181	92	415
182	92	414
183	92	412
184	93	409
185	93	407
186	93	406
187	93	404
188	93	402
189	93	400
190	94	398
191	94	396
192	94	394
193	94	392
194	94	390
195	94	388
196	94	386
197	94	384
198	95	382
199	95	380
200	95	379
201	95	377
202	95	375
203	95	374
204	96	372
205	96	370
206	96	369
207	96	367
208	96	366
209	96	364
210	97	362
211	97	361
212	97	359
213	97	358
214	97	356
215	97	354
216	97	353
217	97	351
218	98	350
219	98	348
220	98	346
221	98	345
222	98	344
223	98	342
224	99	341
225	99	339
226	99	337
227	99	336
228	99	335
229	99	333
230	99	332
231	100	331
232	100	329
233	100	328
234	100	326
235	100	325
236	100	323
237	100	322
238	100	320
239	100	319
240	101	318
241	101	316
242	101	315
243	101	314
244	101	312
245	101	311
246	101	309
247	101	308
248	101	306
249	101	305
250	102	304
251	102	303
