iter	RMSE
0	13.78160108
1	13.44698158
2	13.13884711
3	12.82486704
4	12.51984998
5	12.22269748
6	11.94913738
7	11.68888678
8	11.3975124
9	11.12412056
10	10.89729589
11	10.63591218
12	10.41379633
13	10.17843421
14	9.936805366
15	9.740295245
16	9.515958611
17	9.287822412
18	9.086777532
19	8.884358475
20	8.699852304
21	8.498840725
22	8.317009759
23	8.157535192
24	7.973371241
25	7.796267229
26	7.615881768
27	7.447851557
28	7.283009013
29	7.117206695
30	6.961259606
31	6.815456246
32	6.66592172
33	6.513994407
34	6.367590402
35	6.224156895
36	6.080793356
37	5.949468304
38	5.820160607
39	5.691948373
40	5.572749541
41	5.455618041
42	5.333643914
43	5.244867337
44	5.143843697
45	5.032664775
46	4.939064299
47	4.837139075
48	4.737106982
49	4.636437078
50	4.534460885
51	4.445572826
52	4.357251581
53	4.271999832
54	4.185369634
55	4.108792645
56	4.027472772
57	3.943515189
58	3.862132227
59	3.778546684
60	3.699533491
61	3.626676237
62	3.546075824
63	3.473320813
64	3.39737133
65	3.342329658
66	3.274799823
67	3.211793071
68	3.161102114
69	3.099544142
70	3.043247174
71	2.981882172
72	2.926856072
73	2.873663728
74	2.818371861
75	2.76778057
76	2.713259559
77	2.659695566
78	2.609586087
79	2.559215386
80	2.51923771
81	2.468890721
82	2.430693346
83	2.380733449
84	2.336494372
85	2.294939965
86	2.253288557
87	2.219150069
88	2.17889116
89	2.138783398
90	2.099859676
91	2.066404407
92	2.034412393
93	2.004497185
94	1.970693423
95	1.939745794
96	1.907599966
97	1.871296348
98	1.840878296
99	1.814137863
100	1.781516686
101	1.753061529
102	1.72676502
103	1.696249174
104	1.667134607
105	1.638421506
106	1.612881116
107	1.585003718
108	1.558052943
109	1.53611078
110	1.513682059
111	1.488704333
112	1.467109246
113	1.447142127
114	1.424922495
115	1.404663506
116	1.387741399
117	1.369313404
118	1.352486799
119	1.33256547
120	1.311823519
121	1.29612901
122	1.278104849
123	1.262773557
124	1.245199767
125	1.2280546
126	1.216806452
127	1.200994873
128	1.186962078
129	1.169607076
130	1.156662964
131	1.140059719
132	1.127025977
133	1.114746921
134	1.103922272
135	1.091598774
136	1.078022449
137	1.064603423
138	1.053820706
139	1.039847291
140	1.029230272
141	1.018913535
142	1.007766077
143	0.9965232989
144	0.9845411297
145	0.9742410894
146	0.9645659182
147	0.9549935768
148	0.9459549743
149	0.9366151623
150	0.9256737691
151	0.9163644492
152	0.9073698476
153	0.8973270214
154	0.8893813697
155	0.8823073651
156	0.8744332563
157	0.8721101972
158	0.862989141
159	0.8567537681
160	0.8513454047
161	0.84456864
162	0.8398905443
163	0.8340885267
164	0.8274974394
165	0.8214000372
166	0.814383442
167	0.8118550774
168	0.8085017454
169	0.8026405163
170	0.7957841226
171	0.7891616143
172	0.7866998374
173	0.783834286
174	0.7768612465
175	0.771697284
176	0.7657761756
177	0.7598373487
178	0.7585059408
179	0.7528516097
180	0.7469284082
181	0.7435433685
182	0.7421639172
183	0.7381381377
184	0.7352154665
185	0.7298759075
186	0.7257037868
187	0.7245507763
188	0.7197495878
189	0.7154161345
190	0.7141489619
191	0.7123067638
192	0.7068318367
193	0.7050153825
194	0.6991229811
195	0.6974658293
196	0.6939226665
197	0.6927713468
198	0.6905719138
199	0.6868867518
200	0.6857141911
201	0.6823227954
202	0.6806988832
203	0.6795725622
204	0.6764250809
205	0.6753466994
206	0.6743189806
207	0.671598861
208	0.6706601693
209	0.6696966051
210	0.6659716395
211	0.6650522645
212	0.6608629533
213	0.6587261944
214	0.6577625663
215	0.65677879
216	0.6533434634
217	0.652388085
218	0.6513422816
219	0.6504881085
220	0.646054965
221	0.6443370714
222	0.6417302983
223	0.6384133286
224	0.6375224838
225	0.6366756056
226	0.6342284815
227	0.6303282182
228	0.6265840583
229	0.6258171533
230	0.6221794118
231	0.621420697
232	0.620587517
233	0.6167911727
234	0.6135330687
235	0.6126488621
236	0.6111161795
237	0.6091851169
238	0.60640817
239	0.6054186638
240	0.6046102403
241	0.603848602
242	0.6031140396
243	0.6004709145
244	0.5970422509
245	0.5957886535
246	0.5951025447
247	0.5937918851
248	0.5929671785
249	0.5922102484
250	0.5915235626
251	0.5881252809
252	0.5874004699
253	0.5867104078
254	0.5860666
255	0.5854716989
256	0.5848269873
257	0.5842365944
258	0.5835294098
259	0.5828583677
260	0.5822555462
261	0.5816041053
262	0.5786361799
263	0.5780478333
264	0.5763407008
265	0.5757465982
266	0.5726762152
267	0.5721079636
268	0.5715087618
269	0.5709273452
270	0.5703706246
271	0.5697940686
272	0.5668367212
273	0.5662734649
274	0.5655921188
275	0.5628741656
276	0.5601159681
277	0.5586111857
278	0.5580416123
279	0.5575033677
280	0.556979423
281	0.5563751326
282	0.5558779507
283	0.5553681253
284	0.5523561088
285	0.549583659
286	0.5491097869
287	0.5484359535
288	0.5479421277
289	0.5474462022
290	0.5469330452
291	0.5464238055
292	0.5459752193
293	0.5427219027
294	0.542244802
295	0.5390136825
296	0.5385433756
297	0.5380813408
298	0.5376300951
299	0.5371584453
300	0.5367136193
301	0.5363204725
302	0.5357805301
303	0.5337215197
304	0.5314079298
305	0.5309975724
306	0.5305722995
307	0.527882492
308	0.5256480539
309	0.5252414002
310	0.5248542717
311	0.5244239667
312	0.5240314856
313	0.5237015778
314	0.5233144966
315	0.522929143
316	0.5225491354
317	0.5204675839
318	0.5186428329
319	0.5182486583
320	0.5178845655
321	0.5175242918
322	0.5171843548
323	0.51484215
324	0.5144909756
325	0.5118575744
326	0.5115120143
327	0.5088937095
328	0.5085544289
329	0.508218344
330	0.5060643837
331	0.5056980848
332	0.5052201776
333	0.5048947514
334	0.5029575159
335	0.5026383374
336	0.5009014028
337	0.5005787392
338	0.5002569354
339	0.4980568189
340	0.4977182469
341	0.4964726724
342	0.4961750326
343	0.4957417899
344	0.4951828772
345	0.4949066397
346	0.4946283449
347	0.4942087842
348	0.4939234457
349	0.4936321329
350	0.4918073964
351	0.4915296435
352	0.4891080662
353	0.4875209402
354	0.4868959625
355	0.4866249832
356	0.4863638379
357	0.4861193974
358	0.4858377625
359	0.483681909
360	0.4834296698
361	0.4829563929
362	0.4810315731
363	0.479267145
364	0.4790099536
365	0.4787326625
366	0.4769321363
367	0.4767066339
368	0.4745812859
369	0.4737597238
370	0.4720065158
371	0.4702012318
372	0.4699773467
373	0.4697192336
374	0.4680470021
375	0.4678302714
376	0.4676255928
377	0.4673773878
378	0.4666020777
379	0.4663404262
380	0.4643601176
381	0.4639696267
382	0.463733284
383	0.4632663141
384	0.4630660986
385	0.4618551747
386	0.4613097096
387	0.4610848944
388	0.4595837809
389	0.4592258164
390	0.4590076492
391	0.4587922706
392	0.4585228932
393	0.4570175245
394	0.4568084748
395	0.456602095
396	0.4563983491
397	0.4561972015
398	0.455998617
399	0.4558025612
400	0.4556089999
401	0.4554178996
402	0.4538799881
403	0.4536929642
404	0.4535296298
405	0.4514189526
406	0.4502906694
407	0.4501590623
408	0.449980722
409	0.4498272772
410	0.4490010678
411	0.4485261057
412	0.4483767408
413	0.4466837001
414	0.4455578462
415	0.4444551858
416	0.4428937228
417	0.4415154265
418	0.4413743735
419	0.4399797741
420	0.4398216741
421	0.4396655851
422	0.4395527982
423	0.4391946016
424	0.437876707
425	0.4375746417
426	0.435929266
427	0.4346757755
428	0.4345319669
429	0.4335825352
430	0.4329386057
431	0.43243366
432	0.4315321452
433	0.4314126434
434	0.4296511249
435	0.4287195302
436	0.4286145474
437	0.4269032789
438	0.4255962122
439	0.4251554638
440	0.4243708476
441	0.4242444325
442	0.4227346168
443	0.4226432636
444	0.422220098
445	0.4216333968
446	0.421538871
447	0.4213945757
448	0.420202311
449	0.4198711995
450	0.419756025
451	0.4188130796
452	0.4171490979
453	0.4168970642
454	0.4158235055
455	0.4155118582
456	0.4152127001
457	0.4142339828
458	0.4139423442
459	0.4134913398
460	0.4133885454
461	0.413038703
462	0.4125619909
463	0.411607362
464	0.411403372
465	0.410389196
466	0.4103055673
467	0.410210814
468	0.4101409773
469	0.4099769643
470	0.4098968874
471	0.4098061481
472	0.4095643892
473	0.4092442454
474	0.4091566045
475	0.4090700612
476	0.4078578361
477	0.406899143
478	0.4066671558
479	0.4065941232
480	0.4065113177
481	0.4064295494
482	0.4056034647
483	0.4055233416
484	0.405453826
485	0.4046682362
486	0.4045529733
487	0.4030440503
488	0.4016233664
489	0.4013994553
490	0.4013208619
491	0.4012468945
492	0.401173849
493	0.4011065747
494	0.4000947236
495	0.3993456718
496	0.3983380304
497	0.3982682475
498	0.3981381198
499	0.398070657
500	0.3979442259
501	0.3971708619
502	0.3971044133
503	0.396869255
504	0.396804246
505	0.3967400447
