iter	Passed	Remaining
0	1	6092
1	1	3862
2	1	3298
3	2	2967
4	2	2723
5	3	2593
6	3	2427
7	3	2453
8	4	2363
9	4	2286
10	4	2180
11	5	2112
12	5	2044
13	5	1989
14	5	1934
15	6	1886
16	6	1863
17	6	1831
18	6	1801
19	7	1791
20	7	1761
21	7	1745
22	7	1724
23	8	1704
24	8	1677
25	8	1658
26	8	1641
27	9	1641
28	9	1644
29	9	1628
30	10	1610
31	10	1597
32	10	1584
33	10	1570
34	11	1654
35	11	1637
36	12	1627
37	12	1612
38	12	1596
39	12	1581
40	12	1568
41	13	1554
42	13	1539
43	13	1525
44	13	1516
45	14	1512
46	14	1502
47	14	1494
48	14	1484
49	14	1481
50	15	1476
51	15	1467
52	15	1458
53	15	1452
54	16	1442
55	16	1433
56	16	1425
57	16	1418
58	16	1411
59	17	1405
60	17	1400
61	17	1394
62	17	1387
63	17	1388
64	18	1385
65	18	1382
66	18	1376
67	18	1371
68	19	1365
69	19	1359
70	19	1355
71	19	1351
72	19	1345
73	20	1339
74	20	1334
75	20	1328
76	20	1321
77	20	1316
78	21	1312
79	21	1307
80	21	1302
81	21	1296
82	21	1291
83	21	1286
84	22	1287
85	22	1285
86	22	1280
87	22	1276
88	23	1271
89	23	1268
90	23	1263
91	23	1259
92	23	1256
93	23	1251
94	24	1247
95	24	1242
96	24	1239
97	24	1236
98	24	1233
99	25	1228
100	25	1224
101	25	1220
102	25	1218
103	25	1214
104	25	1210
105	26	1208
106	26	1204
107	26	1201
108	26	1199
109	26	1196
110	27	1193
111	27	1189
112	27	1186
113	27	1183
114	27	1180
115	27	1177
116	28	1175
117	28	1171
118	28	1168
119	28	1165
120	28	1164
121	29	1161
122	29	1158
123	29	1155
124	29	1154
125	29	1153
126	30	1151
127	30	1149
128	30	1147
129	30	1145
130	30	1142
131	30	1140
132	31	1138
133	31	1136
134	31	1134
135	31	1131
136	31	1129
137	32	1127
138	32	1125
139	32	1124
140	32	1123
141	32	1120
142	32	1117
143	33	1115
144	33	1114
145	33	1112
146	33	1111
147	33	1113
148	34	1111
149	34	1109
150	34	1108
151	34	1109
152	35	1108
153	35	1110
154	35	1109
155	35	1106
156	35	1104
157	35	1102
158	36	1100
159	36	1098
160	36	1095
161	36	1096
162	36	1095
163	37	1094
164	37	1095
165	37	1093
166	37	1091
167	37	1090
168	38	1088
169	38	1086
170	38	1085
171	38	1086
172	38	1084
173	39	1082
174	39	1081
175	39	1079
176	39	1078
177	39	1076
178	39	1072
179	40	1072
180	40	1071
181	40	1070
182	40	1068
183	40	1067
184	40	1065
185	41	1067
186	41	1067
187	41	1064
188	41	1062
189	41	1061
190	42	1059
191	42	1057
192	42	1056
193	42	1054
194	42	1054
195	43	1055
196	43	1054
197	43	1052
198	43	1051
199	43	1049
200	43	1048
201	44	1047
202	44	1045
203	44	1044
204	44	1044
205	44	1043
206	45	1041
207	45	1040
208	45	1037
209	45	1036
210	45	1035
211	45	1032
212	45	1031
213	46	1029
214	46	1028
215	46	1026
216	46	1025
217	46	1024
218	46	1023
219	47	1021
220	47	1020
221	47	1020
222	47	1019
223	47	1017
224	47	1017
225	48	1015
226	48	1015
227	48	1013
228	48	1012
229	48	1010
230	48	1008
231	49	1007
232	49	1006
233	49	1005
234	49	1005
235	49	1004
236	49	1003
237	50	1003
238	50	1002
239	50	1003
240	50	1002
241	50	1002
242	51	1000
243	51	999
244	51	998
245	51	997
246	51	996
247	51	996
248	52	995
249	52	993
250	52	992
251	52	992
252	52	991
253	53	990
254	53	988
255	53	986
256	53	983
257	53	981
258	53	981
259	53	979
260	53	978
261	54	977
262	54	977
263	54	976
264	54	976
265	54	976
266	55	975
267	55	975
268	55	976
269	55	975
270	55	974
271	55	973
272	56	972
273	56	972
274	56	970
275	56	969
276	56	969
277	56	968
278	57	967
279	57	966
280	57	965
281	57	965
282	57	964
